query_id,query,NDCG@10,MRR,Recall@10
2648,How does unemployment insurance work?,1.0,1.0,1.0
2486,"Is working on a W2 basis, with benefits paid to me, a good idea?",1.0,1.0,1.0
109,How to account for money earned and spent prior to establishing business bank accounts?,1.0,1.0,1.0
691,How to categorize credit card payments?,1.0,1.0,1.0
1877,"As a Sole Proprietor, will “employer” Solo 401k contributions count towards gross income?",1.0,1.0,1.0
10414,What is considered high or low when talking about volume?,1.0,1.0,1.0
6219,Are there Investable Real Estate Indices which track Geographical Locations?,1.0,1.0,1.0
2695,"Buy a parking spot and rent it out, or invest savings in an interest-bearing account?",1.0,1.0,1.0
9824,Where can end-of-day data be downloaded for corporate bonds?,1.0,1.0,1.0
721,What are “upstream investments” and “downstream investments” in this context?,1.0,1.0,1.0
5505,Can I deduct interest and fees on a loan for qualified medical expenses?,1.0,1.0,1.0
3357,Why big clients want the contractor to be incorporated before giving them work,1.0,1.0,1.0
9565,What are the tax benefits of dividends vs selling stock,1.0,1.0,1.0
5347,car loan life insurance,1.0,1.0,1.0
2737,What to do with an old building to get money,1.0,1.0,1.0
904,How do I set up Quickbooks for a small property rental company that holds its properties in separate LLC's?,1.0,1.0,1.0
475,Do I need a new EIN since I am hiring employees for my LLC?,1.0,1.0,1.0
5653,Steps and timing of the SEIS investment (in the UK),1.0,1.0,1.0
10845,"Rationale behind using 12, 26 and 9 to calculate MACD",1.0,1.0,1.0
5045,Why are we taxed on revenue and companies on profit?,1.0,1.0,1.0
7484,Why sometimes payable date is BEFORE the ex-dividend date?,1.0,1.0,1.0
1441,What's the difference between Market Cap and NAV?,1.0,1.0,1.0
3528,"In the US, does getting a loan with a cosigner, help your credit rating?",1.0,1.0,1.0
5592,Are “hard money loans” meant only for real estate?,1.0,1.0,1.0
4785,What is the difference between a structured collar and a normal collar in finance?,1.0,1.0,1.0
7467,Stocks are traded on secondary markets?,1.0,1.0,1.0
8121,Can I calculate stock value with Williams%R if I know the last set?,1.0,1.0,1.0
5125,Regarding Australian CBS takeover of TEN,1.0,1.0,1.0
1284,Tax consequences when foreign currency changes in value,1.0,1.0,1.0
9644,"If early exercise is a bad idea, why American option is more expensive than European [duplicate]",1.0,1.0,1.0
1415,I am not VAT registered. Do I need to buy from my supplier with excl VAT prices or incl VAT?,1.0,1.0,1.0
1815,Rules for SEP contributions in an LLC?,1.0,1.0,1.0
879,Capital improvement and depreciation in restaurant LLC,1.0,1.0,1.0
1451,"How do you find an ethical, honest independent insurance broker in Canada?",1.0,1.0,1.0
1826,"Is the contribution towards Employment Insurance (EI) wasted if I never get fired, or are my premiums refunded?",1.0,1.0,1.0
4700,Better to get loan from finance company or bank considering the drop of credit score?,1.0,1.0,1.0
8296,Can the beta of a stock be used as a lagging indicator for the stock w.r.t the market,1.0,1.0,1.0
2445,How do I notify the IRS of a new member to an LLC?,1.0,1.0,1.0
2399,Where do web sites get foreign exchange currency rate / quote information?,1.0,1.0,1.0
6479,Trading on exchanges or via brokerage companies?,1.0,1.0,1.0
11054,Short Term Capital Gains tax vs. IRA Withdrawal Tax w/o Quarterly Est. Taxes,1.0,1.0,1.0
4681,How to fix Finance::Quote to pull quotes in GnuCash,1.0,1.0,1.0
5380,"Can somebody explain “leveraged debt investment positions” and “exposures” in this context for me, please?",1.0,1.0,1.0
8040,Best way to make most of savings with ISA and Offset mortgage,1.0,1.0,1.0
6807,How to incorporate dividends while calculating annual return of a Stock,1.0,1.0,1.0
6985,"Bed and Breakfast, Same Day Capital Gains UK",1.0,1.0,1.0
8795,Stock exchanges using open outcry,1.0,1.0,1.0
4339,What could happen to Detroit Municipal bonds because of Detroit's filing for bankruptcy?,1.0,1.0,1.0
8832,Is it possible to buy commodity ETFs (e.g. silver) through Questrade?,1.0,1.0,1.0
4946,Something looks off about Mitsubishi financial data,1.0,1.0,1.0
6862,Canada discount stock brokers: Interactive Brokers vs. Questrade?,1.0,1.0,1.0
5331,Exercises of employee share options,1.0,1.0,1.0
4968,Reasons behind a large price movement of a penny stock without any recent news releases?,1.0,1.0,1.0
5085,What is vested stock and yearly dividends?,1.0,1.0,1.0
2880,Can I transfer my investment property into a SMSF?,1.0,1.0,1.0
3830,US citizen transferring money to Indian fiance to buy property,1.0,1.0,1.0
1933,UK sole trader who often buys products/services on behalf of clients – do I deduct from declared income or claim as allowable expenses?,1.0,1.0,1.0
5255,Thrift Saving Plan (TSP) Share Price Charts,1.0,1.0,1.0
3051,What items are exempt from the VAT? [U.K.],1.0,1.0,1.0
10932,Transferring money from 403B to 401K?,1.0,1.0,1.0
5646,Do I need multiple credit monitoring services?,1.0,1.0,1.0
1198,What are the consequences of IRS “reclassification” on both employer and employee?,1.0,1.0,1.0
5086,Mortgage loan implications when tearing down existing house and building new one?,1.0,1.0,1.0
4047,Does doing your “research”/“homework” on stocks make any sense?,0.9829,1.0,1.0
9737,Long(100%)-Short(-100%) investment explanation,0.9675,1.0,1.0
5981,Is it a good investment for a foreigner to purchase a flat/apartment in China?,0.9609,1.0,1.0
3480,Why is OkPay not allowed in the United States?,0.9558,1.0,1.0
4920,Does financing a portfolio on margin affect the variance of a portfolio?,0.9469,1.0,1.0
4084,What industries soar when oil prices go up?,0.9197,1.0,1.0
6611,How does Vanguard determine the optimal asset allocation for their Target Retirement Funds?,0.8772,1.0,1.0
8544,Strategies to recover from a bad short-term call options purchase where the underlying dropped instead?,0.8772,1.0,1.0
6420,Does the bid/ask concept exist in dealer markets?,0.8772,1.0,1.0
5683,What is the PEG ratio? How is the PEG ratio calculated? How is the PEG ratio useful for stock investing?,0.8772,1.0,1.0
852,Dalbar: How can the average investor lose money?,0.8711,1.0,1.0
2376,Why do gas stations charge different amounts in the same local area?,0.8694,1.0,0.875
2460,What are the consequences of not respecting a notice period when leaving a job?,0.8529,1.0,1.0
6146,Lost credit card replaced with new card and new numbers. Credit score affected?,0.8503,1.0,1.0
3875,Does freedom to provide services allow me contracting in Germany without paying taxes there (but in my home EU country)?,0.8503,1.0,1.0
7911,What is the difference between a 'trader' and a 'stockbroker'?,0.8503,1.0,1.0
9646,Do common stocks and preferred stocks have any differences in terms of percentage of the company per unit they represent?,0.8503,1.0,1.0
7080,Wash sale rule with dividend reinvestment,0.8503,1.0,1.0
10596,Does a market maker sell (buy) at a bid or ask price?,0.8435,1.0,0.8
4233,"Are personal finance / money management classes taught in high school, anywhere?",0.8358,1.0,0.8
3789,How to work around the Owner Occupancy Affidavit to buy another home in less than a year?,0.8319,1.0,0.75
4714,Personal finance app where I can mark transactions as “reviewed”?,0.8319,1.0,0.75
10734,How do you translate a per year salary into a part-time per hour job?,0.8234,1.0,0.8333
2204,What's an economic explanation for why greeting cards are so expensive?,0.8178,1.0,0.75
9188,Selling mutual fund and buying equivalent ETF: Can I 1031 exchange?,0.8175,1.0,1.0
2749,Is it possible to create a self-managed superannuation fund to act as a mortage offset? (Australia),0.7977,1.0,1.0
6278,What is the best way to help my dad consolidate his credit card debt at a lower rate?,0.7904,1.0,1.0
8475,Why I cannot find a “Pure Cash” option in 401k investments?,0.7753,1.0,0.7143
8789,What does “profits to the shareholders jumped to 15 cents a share” mean?,0.7654,1.0,0.6667
2580,Stock market vs. baseball card trading analogy,0.7654,1.0,0.6667
4981,Where can I find open source portfolio management software?,0.7654,1.0,0.6667
1748,"How high should I set my KickStarter funding goal in order to have $35,000 left over?",0.7654,1.0,0.6667
1670,Investing in hemp producers in advance of possible legalization in Canada?,0.7654,1.0,0.6667
6041,Most effective Fundamental Analysis indicators for market entry,0.7495,1.0,0.75
864,Why use accounting software like Quickbooks instead of Excel spreadsheets?,0.7316,1.0,0.6667
8079,Growth rate plus dividend yieid total?,0.7123,0.5,1.0
10497,Why would you elect to apply a refund to next year's tax bill?,0.7116,1.0,0.6
6647,What is meant by “priced in”?,0.7039,1.0,0.6667
8072,"What does it mean “sell on ask” , “sell on bid” in stocks?",0.7039,1.0,0.6667
3091,Am I considered in debt if I pay a mortgage?,0.7033,1.0,0.7143
6002,15 year mortgage vs 30 year paid off in 15,0.6938,1.0,0.5455
3453,How does spot-futures arbitrage work in the gold market?,0.6934,0.5,1.0
5264,Does a company's stock price give any indication to or affect their revenue?,0.6844,1.0,0.6
2416,Why should a company go public?,0.6805,1.0,0.75
8702,Why is early exercise generally not recommended for an in-the-money option?,0.6714,1.0,0.6667
4571,"HSBC Hong Kong's “Deposit Plus” Product: What is it, and what strategies to employ?",0.6714,1.0,0.6667
4845,What is the difference between fund and portfolio?,0.6653,0.5,1.0
2968,Should I prioritize retirement savings inside of my HSA?,0.6509,0.5,1.0
6525,Does it make sense to trade my GOOGL shares for GOOG and pocket the difference?,0.6508,1.0,0.6667
1676,W2 vs 1099 Employee status,0.6437,1.0,0.75
4335,What is the US Fair Tax?,0.6367,1.0,0.5
3566,"Where can I buy stocks if I only want to invest a little bit at a time, and not really be involved in trading?",0.6364,1.0,0.6667
4484,Has the likelihood of getting a lower interest rate by calling & asking been reduced by recent credit card regulations?,0.6309,0.5,1.0
10601,Bitcoin Cost Basis Purchases,0.6309,0.5,1.0
939,How to correct a tax return filed electronically and already approved?,0.6309,0.5,1.0
2388,Do financial advisors get better deals on mortgages?,0.6309,0.5,1.0
2747,What evidence do I need to declare tutoring income on my income tax?,0.6309,0.5,1.0
3103,"AVS Address Verification System of BOTH Credit and Debit Cards - WHERE, HOW?",0.6309,0.5,1.0
1297,Why aren't there solutions for electronic itemized receipt for retail in-store purchases?,0.6309,0.5,1.0
8512,Is it possible to transfer stock I already own into my Roth IRA without having to sell the stock?,0.6309,0.5,1.0
10152,What does a high operating margin but a small but positive ROE imply about a company?,0.6309,0.5,1.0
3039,Can increasing my tax withholding from my full-time job cover FICA taxes for my freelance work?,0.6309,0.5,1.0
1469,Why do some companies report how well their EBITDA performed even if their overall net profit did equally well?,0.6309,0.5,1.0
929,Freelancer: Should I start a second bank account?,0.6309,0.5,1.0
603,Will one’s education loan application be rejected if one doesn't have a payslip providing collateral?,0.6309,0.5,1.0
895,California tells me I didn't file documents for an LLC that isn't mine. What do I do?,0.6309,0.5,1.0
2891,May I claim money earned but not received in 2012,0.6309,0.5,1.0
10710,Probablity of touching In the money vs expiring in the money for an american option,0.6309,0.5,1.0
6800,I don't live in America. How can I buy IPO stock of newly listed companies in the United States?,0.6309,0.5,1.0
515,financial institution wants share member break down for single member LLC,0.6309,0.5,1.0
1948,Which colors can one use to fill out a check in the US?,0.6309,0.5,1.0
2587,Typically how many digits are in a cheque number?,0.6309,0.5,1.0
3837,"Opening a Roth IRA account, what is the fee structure for Vanguard, Scottrade and TIAA-CREF",0.6309,0.5,1.0
6849,What do the points in a stock market index epresent?,0.6309,0.5,1.0
7448,"If an index goes up because an underlying company issues more shares, what happens to the ETF",0.6309,0.5,1.0
7876,Why do stocks split?,0.6309,0.5,1.0
4863,How to calculate new price for bond if yield increases,0.6257,1.0,0.6667
7590,Why are US target retirement funds weighted so heavily towards US stocks?,0.6241,0.5,1.0
98,"How can I make $250,000.00 from trading/investing/business within 5 years?",0.6131,1.0,0.5
2330,How can I determine if a debt consolidation offer is real or a scam?,0.6131,1.0,0.5
4116,Would the effects of an anticipated default by a nation be mostly symbolic?,0.6131,1.0,0.5
6468,Why deep in the money options have very low liquidity,0.6131,1.0,0.5
2801,If I deposit money as cash does it count as direct deposit?,0.6131,1.0,0.5
6835,Are bond ETF capital gains taxed similar to stock or stock funds if held for more than 1 year?,0.6131,1.0,0.5
2383,Should I Purchase Health Insurance Through My S-Corp,0.6131,1.0,0.5
5064,How much should a graduate student attempt to save?,0.6131,1.0,0.5
5888,Interest charges on balance transfer when purchases are involved,0.6131,1.0,0.5
6668,Approximate IT company valuation (to proximate stock options value),0.6131,1.0,0.5
4289,Does the currency exchange rate contain any additional information at all?,0.6131,1.0,0.5
2316,What exchange rate does El Al use when converting final payment amount to shekels?,0.6131,1.0,0.5
5534,How does “taking over payments” work?,0.6131,1.0,0.5
3186,United States Treasury Not Endorsing Checks,0.6131,1.0,0.5
6080,Is ScholarShare a legitimate entity for a 529 plan in California?,0.6131,1.0,0.5
9925,What does Chapter 11 Bankruptcy mean to an investor holding shares of a Chapter 11 Company?,0.6131,1.0,0.5
2549,How to graph the market year over year? for example Dow Jones Index,0.6131,1.0,0.5
2724,How do you determine the dividend payout date for Mutual Funds?,0.6131,1.0,0.5
8947,Can a Roth IRA be used as a savings account?,0.6131,1.0,0.5
4286,"Given advice “buy term insurance and invest the rest”, how should one “invest the rest”?",0.6131,1.0,0.5
8,How to deposit a cheque issued to an associate in my business into my business account?,0.6131,1.0,0.5
7734,Can PE ratio of stocks be compared to other investments?,0.6131,1.0,0.5
594,Should a retail trader bother about reading SEC filings,0.6131,1.0,0.5
10034,Tax implications of holding EWU (or other such UK ETFs) as a US citizen?,0.6131,1.0,0.5
6554,"Mutual fund value went down, shares went up, no action taken by me",0.6131,1.0,0.5
6133,What happens to all of the options when they expire?,0.6131,1.0,0.5
4504,what is the best way of investment which gives returns forever?,0.6131,1.0,0.5
928,How can I determine if a FHA loan refinance offer is from a reputable lender,0.6131,1.0,0.5
6715,What does it mean if “IPOs - normally are sold with an `underwriting discount` (a built in commission)”,0.6131,1.0,0.5
7098,Can another tax loss be used to offset capital gains taxes? How does it work?,0.6131,1.0,0.5
8271,Income in zero-interest environment,0.6131,1.0,0.5
9060,Buying puts without owning underlying,0.6131,1.0,0.5
7344,How is the Dow divisor calculated?,0.6131,1.0,0.5
6713,Will my father still be eligible for SNAP if I claim him as my dependent?,0.6131,1.0,0.5
4844,"How to read bond yield quotes? What do the time, coupon, price, yield, and time mean?",0.6131,1.0,0.5
10645,Explain the details and benefits of rebalancing a retirement portfolio?,0.6131,1.0,0.5
750,Paid part of my state refund back last year; now must declare the initial amount as income?,0.6131,1.0,0.5
2385,"As director, can I invoice my self-owned company?",0.6131,1.0,0.5
8632,"Is it best to exercise options shares when they vest, or wait",0.6131,1.0,0.5
6262,Help required on estimating SSA benefit amounts,0.6105,1.0,0.6667
3781,What is the rough estimate of salary value for a taxpayer to pay AMT?,0.6053,0.5,1.0
7068,Making money through CFD,0.6053,0.5,1.0
10979,Closing a futures position,0.5856,1.0,0.5
10812,Is is possible to dispute IRS underpayment penalties?,0.5856,1.0,0.5
7801,What are some well known or well regarded arguments against investing?,0.5714,0.5,1.0
9481,What are reasonable administrative fees for an IRA?,0.5706,0.3333,1.0
10792,How can I calculate a “running” return using XIRR in a spreadsheet?,0.5706,0.3333,1.0
659,Buying from an aggressive salesperson,0.5672,1.0,0.5
3503,Is there any instance where less leverage will get you a better return on a rental property?,0.5658,1.0,0.5714
2516,Which banks have cash-deposit machines in Germany?,0.5585,1.0,0.5
3148,Can a car company refuse to give me a copy of my contract or balance details?,0.5531,1.0,0.4
1736,How can people have such high credit card debts?,0.5531,1.0,0.4
2923,Should I give to charity by check or credit card?,0.5531,1.0,0.4
4615,Are solar cell panels and wind mills worth the money?,0.55,1.0,0.5
588,Is there a reason to buy a 0% yield bond?,0.5438,0.3333,1.0
6803,What are the common moving averages used in a “Golden Cross” stock evaluation?,0.5414,1.0,0.5
6635,Why don't share prices of a company rise every other Friday when the company buys shares for its own employees?,0.5414,1.0,0.5
2857,"I have around 60K $. Thinking about investing in Oil, how to proceed?",0.5414,1.0,0.5
10109,Why does Charles Schwab have a Mandatory Settlement Period after selling stocks?,0.5399,1.0,0.4286
3791,"""When people say 'Interest rates are at all time low!"""" … Which interest rate are they actually referring to?""",0.5307,0.5,0.6667
4306,How do currency markets work? What factors are behind why currencies go up or down?,0.5294,1.0,0.5
2010,Paypal website donations without being a charity,0.5257,0.25,1.0
2856,How can I cash out a check internationally?,0.5102,0.5,0.75
7124,How come we can find stocks with a Price-to-Book ratio less than 1?,0.5079,1.0,0.5
3683,Can I trust the Motley Fool?,0.5059,1.0,0.5
1309,Why does FlagStar Bank harass you about payments within grace period?,0.5032,1.0,0.5
1871,Is there any US bank that does not charge for incoming wire transfers?,0.5032,1.0,0.5
6110,Why does short selling require borrowing?,0.5026,1.0,0.375
9929,"Investing in commodities, pros and cons?",0.5013,0.25,1.0
4813,Dealer Financing Fell Through on vehicle purchase: Scam?,0.5,0.3333,1.0
1832,Warren Buffett and Charles Munger advice for small investors?,0.5,0.3333,1.0
7205,Is it possible to see option prices from the past?,0.5,0.3333,1.0
18,1 EIN doing business under multiple business names,0.5,0.3333,1.0
10039,Do individual investors use Google to obtain stock quotes?,0.5,0.3333,1.0
8970,"What's the difference, if any, between stock appreciation and compound interest?",0.5,0.3333,1.0
4827,Are all financial advisors compensated in the same way?,0.5,0.3333,1.0
4447,Should I always hold short term bonds till maturity?,0.5,0.3333,1.0
1915,Should I pay a company who failed to collect VAT from me over 6 months ago?,0.5,0.3333,1.0
1074,How common is “pass-through” health insurance?,0.5,0.3333,1.0
94,Using credit card points to pay for tax deductible business expenses,0.5,0.3333,1.0
7105,What is the difference between fixed-income duration and equity duration?,0.5,0.3333,1.0
849,Accounting for reimbursements that exceed actual expenses,0.5,0.3333,1.0
6009,Why can low volume move a stock price drastically?,0.5,0.3333,1.0
9556,How does pre-market trading work?,0.5,0.3333,1.0
11088,Am I required to have a lawyer create / oversee creation of my will?,0.5,0.3333,1.0
2589,How can I detect potential fraud in a company before investing in them?,0.4998,0.25,1.0
6679,Specifically when do options expire?,0.4982,0.5,0.6667
4011,How can I deal with a spouse who compulsively spends?,0.4982,0.5,0.6667
3115,How can I live outside of the rat race of American life with 300k?,0.4935,1.0,0.3333
2076,Can vet / veterinary bills be considered deductions (tax-deductible) for Income Tax purposes [Canada]?,0.4825,0.25,1.0
4007,What is a reasonable salary for the owner and sole member of a small S-Corp?,0.4693,1.0,0.3333
3254,Why do people buy US dollars on the black market?,0.4693,1.0,0.3333
7705,Why would I pick a specific ETF over an equivalent Mutual Fund?,0.4693,1.0,0.3333
7823,Retirement Funds: Betterment vs Vanguard Life strategy vs Target Retirement,0.4693,1.0,0.3333
6122,Better to rent condo to daughter or put her on title?,0.4693,1.0,0.3333
10809,Definitions of leverage and of leverage factor,0.4693,1.0,0.3333
6891,What is the theory behind Rick Van Ness's risk calculation in the video about diversification?,0.4693,1.0,0.3333
2994,Work on the side for my wife's company,0.4693,1.0,0.3333
7534,Can you explain why it's better to invest now rather than waiting for the market to dip?,0.4693,1.0,0.3333
9115,Why does the calculation for percentage profit vary based on whether a position is short vs. long?,0.4693,1.0,0.3333
4823,"Close to retirement & we may move within 7 years. Should we re-finance our mortgage, or not?",0.4693,1.0,0.3333
7109,How do I analyse moving averages?,0.4632,0.5,0.6667
2334,How do you determine “excess cash” for Enterprise Value calculations from a balance sheet?,0.4525,0.5,0.6667
6005,Why might it be advisable to keep student debt vs. paying it off quickly?,0.4374,1.0,0.2308
8332,Why do put option prices go higher when the underlying stock tanks (drops)?,0.4373,0.5,0.6667
7936,Why naked call writing is risky compare to Covered call?,0.4367,0.3333,0.6667
7758,Bid/ask spreads for index funds,0.4307,0.25,1.0
9385,Meaning of reinvestment,0.4307,0.25,1.0
15,Can I send a money order from USPS as a business?,0.4307,0.25,1.0
4179,Why could the serious financial woes of some EU member states lead to the end of the Euro?,0.4307,0.25,1.0
4464,Are Australian mutual fund fees large compared to US?,0.4307,0.25,1.0
1281,How FTB and IRS find mistakes in amended tax returns? Are their processes reliable?,0.4307,0.25,1.0
6441,Trading with Settled / Unsettled Funds (T+3),0.4307,0.25,1.0
10137,F-1 student investing in foreign markets,0.4307,0.25,1.0
11039,Pay off credit card debt or earn employer 401(k) match?,0.4306,1.0,0.375
4312,Is it true that 90% of investors lose their money?,0.4292,0.5,0.4286
8002,What is the tax treatment of scrip dividends in the UK?,0.4162,0.3333,0.6667
2568,How to pay with cash when car shopping?,0.4123,1.0,0.2857
2423,At what age should I start or stop saving money?,0.4088,0.5,0.4286
5951,Why can't house prices be out of tune with salaries,0.402,0.5,0.4444
10808,What are a few sites that make it easy to invest in high interest rate mutual funds?,0.4018,0.3333,0.6667
2551,How to find cheaper alternatives to a traditional home telephone line?,0.4018,0.3333,0.6667
3394,What is the easiest way to back-test index funds and ETFs?,0.3973,0.5,0.5
89,How can I deposit a check made out to my business into my personal account?,0.3942,0.5,0.5
8834,Pros/Cons of Buying Discounted Company Stock,0.3942,0.5,0.5
3934,Should market based health insurance premiums be factored into 6 months emergency fund savings?,0.3917,0.2,0.75
957,How can I withdraw money from my LLC?,0.3911,0.3333,0.6667
7633,Can a trade happen “in between” the bid and ask price?,0.3904,1.0,0.25
5862,Can I get a discount on merchandise by paying with cash instead of credit?,0.3904,1.0,0.25
9979,What is the best way to invest in gold as a hedge against inflation without having to hold physical gold?,0.3904,1.0,0.25
6746,What happens if stock purchased on margin plummets below what I have in the brokerage?,0.3869,0.5,0.5
945,Paid by an American company but working from France: where should I pay taxes?,0.3869,0.2,1.0
2154,"What tax software automatically determines the best filing status, etc?",0.3869,0.2,1.0
5090,Should I take a student loan to pursue my undergraduate studies in France?,0.3869,0.5,0.5
56,Can a entrepreneur hire a self-employed business owner?,0.3869,0.2,1.0
5134,Why does Yahoo Finance's data for a Vanguard fund's dividend per share not match the info from Vanguard?,0.3869,0.5,0.5
3615,My previous and current employers both use Fidelity for 401(k). Does it make sense to rollover?,0.3869,0.5,0.5
3801,Can a bunch of wealthy people force Facebook to go public?,0.3869,0.5,0.5
2318,F1 student and eBay selling tax,0.3869,0.2,1.0
6890,Where does the money go when I buy stocks?,0.3869,0.5,0.5
3179,"Calculation, timing, and taxes related to profit distribution of an S-corp?",0.3869,0.5,0.5
6142,How does stabilization work during an IPO?,0.3869,0.5,0.5
6959,What is the term for the quantity (high price minus low price) for a stock?,0.3869,0.5,0.5
1157,Personal taxes for Shopify / Paypal shop?,0.3869,0.5,0.5
2306,To whom should I report fraud on both of my credit cards?,0.3869,0.5,0.5
90,Filing personal with 1099s versus business s-corp?,0.3869,0.2,1.0
7441,"Since many brokers disallow investors from shorting sub-$5 stocks, why don't all companies split their stock until it is sub-$5",0.3836,0.25,0.6667
3446,What's the difference between Term and Whole Life insurance?,0.3836,0.5,0.4
4804,How do financial services aimed at women differ from conventional services?,0.3816,0.1429,1.0
7702,Bond ETFs vs actual bonds,0.378,0.125,1.0
3594,"If I were to get into a life situation where I would not be able to make regular payments, do lenders typically provide options other than default?",0.3764,0.5,0.5
10674,How to sell a stock in a crashing market?,0.3764,0.5,0.5
2348,Why can't you just have someone invest for you and split the profits (and losses) with him?,0.359,1.0,0.1333
5616,How and where do companies publish financial reports?,0.3562,0.1667,1.0
5067,LLC: Where should the funds for initial startup costs come from?,0.3562,0.1667,1.0
9961,Employer rollover from 403b to 401k?,0.3562,0.1667,1.0
699,Prepaid Rent (Accrual Based Accounting),0.3562,0.1667,1.0
2676,Tax question about selling a car,0.3562,0.1667,1.0
2296,How does a bank make money on an interest free secured loan?,0.3526,1.0,0.2222
8592,Tax implications of exercising ISOs and using proceeds to exercise more ISOs,0.3487,0.2,0.6667
9391,Should I replace bonds in a passive investment strategy,0.3462,0.3333,0.5
604,"Is there a dollar amount that, when adding Massachusetts Sales Tax, precisely equals $200?",0.3434,0.25,0.6667
5271,Why are auto leases stubbornly strict about visa status and how to work around that?,0.3434,0.25,0.6667
4523,What should I do with my $25k to invest as a 20 years old?,0.3392,1.0,0.2
5241,Mortgage vs. Cash for U.S. home buy now,0.3392,1.0,0.2
5782,"Pay off credit cards in one lump sum, or spread over a few months?",0.3392,1.0,0.2
2593,Am I “cheating the system” by opening up a tiny account with a credit union and then immediately applying for a huge loan?,0.338,0.2,0.6667
4641,Where should I park my rainy-day / emergency fund?,0.3348,0.5,0.4
4142,Relation between inflation rates and interest rates,0.3342,0.3333,0.5
6625,What does a high theta mean for an option position?,0.3333,0.1429,1.0
3125,"Claiming mileage allowances, what are the rules/guidelines?",0.3333,0.1429,1.0
106,What approaches are there for pricing a small business?,0.3333,0.1429,1.0
